Id,Main,title,Third,Brands,旗舰店,天猫超市,海外旗舰店
131,进口食品,进口零食,进口果冻布丁,乐卡斯,0,1,0
132,进口食品,进口零食,进口果冻布丁,MAKANAN/马卡兰,0,1,0
133,进口食品,进口零食,进口果冻布丁,盛香珍,1,1,1
134,进口食品,进口零食,进口果冻布丁,新巧风（台湾）,0,1,0
135,进口食品,进口零食,进口果冻布丁,Tarami,1,1,0
136,进口食品,进口零食,进口果冻布丁,雅米熊猫,1,1,0
137,进口食品,进口零食,进口果冻布丁,果爱（马来西亚）,0,1,0
138,进口食品,进口零食,进口果冻布丁,EGO（马来西亚）,0,1,0
139,进口食品,进口零食,进口海产品,海牌,1,1,0
140,进口食品,进口零食,进口海产品,fish's room/渔一半,0,0,0
141,进口食品,进口零食,进口海产品,波力,1,1,0
142,进口食品,进口零食,进口海产品,海牌菁品,0,1,0
143,进口食品,进口零食,进口巧克力,lindt/瑞士莲,1,1,1
144,进口食品,进口零食,进口巧克力,Guylian/吉利莲,1,1,0
145,进口食品,进口零食,进口巧克力,德菲丝,1,1,0
146,进口食品,进口零食,进口巧克力,RitterSport/瑞特斯波德 （德国）,0,0,0
147,进口食品,进口零食,进口巧克力,爱芙（马来西亚）,1,1,0
148,进口食品,进口零食,进口巧克力,Toblerone/三角,1,1,0
149,进口食品,进口零食,进口巧克力,Morinaga/森永,1,1,1
150,进口食品,进口零食,进口巧克力,ROSHEN/如胜,1,1,0
151,进口食品,进口零食,进口巧克力,乐家（美国）,1,1,1
152,进口食品,进口零食,进口巧克力,Mcvities/麦维他,1,1,0
153,进口食品,进口零食,进口巧克力,Cote D＇or Experiences/克特多金象,0,0,0
154,进口食品,进口零食,进口巧克力,BACI,1,1,1
155,进口食品,进口零食,进口巧克力,CorNichE/可尼斯,1,1,0
156,进口食品,进口零食,进口巧克力,Lotte/乐天,1,1,1
157,进口食品,进口零食,进口巧克力,EGO（马来西亚）,0,1,0
158,进口食品,进口零食,进口巧克力,KDV（俄罗斯）,1,1,0
159,进口食品,进口零食,进口巧克力,高岗（日本））,0,0,0
160,进口食品,进口零食,进口巧克力,Nestle/雀巢,0,1,0
161,进口食品,进口零食,进口巧克力,不二家,1,1,0
162,进口食品,进口零食,进口巧克力,Beryl’s,1,0,0
163,进口食品,进口酒饮,进口葡萄酒,奔富,1,1,0
164,进口食品,进口酒饮,进口葡萄酒,罗莎,1,1,0
165,进口食品,进口酒饮,进口葡萄酒,拉菲,1,1,1
166,进口食品,进口酒饮,进口葡萄酒,爱之湾,1,1,0
167,进口食品,进口酒饮,进口葡萄酒,Yellow Tail/黄尾袋鼠,1,0,0
168,进口食品,进口酒饮,进口葡萄酒,马代苏,0,1,0
